prefecture,city,lat,lon
三重県,いなべ市,35.109842,136.538505
三重県,三重郡川越町,35.022269,136.672687
三重県,三重郡朝日町,35.036146,136.662548
三重県,三重郡菰野町,35.020442,136.512857
三重県,亀山市,34.858176,136.447524
三重県,伊勢市,34.504686,136.710816
三重県,伊賀市,34.751373,136.146225
三重県,北牟婁郡紀北町,34.200222,136.326942
三重県,南牟婁郡御浜町,33.818800,136.045106
三重県,名張市,34.623899,136.110149
三重県,員弁郡東員町,35.075819,136.587524
三重県,四日市市,34.979008,136.586958
三重県,多気郡明和町,34.550046,136.628213
三重県,尾鷲市,34.049698,136.201607
三重県,度会郡南伊勢町,34.350864,136.700857
三重県,度会郡玉城町,34.488395,136.630666
三重県,志摩市,34.298809,136.821777
三重県,松阪市,34.579560,136.529192
三重県,桑名市,35.079171,136.665027
三重県,桑名郡木曽岬町,35.075101,136.736956
三重県,津市,34.728694,136.497711
三重県,熊野市,33.886052,136.091839
三重県,鈴鹿市,34.878871,136.544144
三重県,鳥羽市,34.474580,136.841541
京都府,与謝郡与謝野町,35.566785,135.151879
京都府,久世郡久御山町,34.887747,135.744313
京都府,乙訓郡大山崎町,34.901941,135.687654
京都府,亀岡市,35.017492,135.568721
京都府,京丹後市,35.628837,135.064172
京都府,京田辺市,34.811732,135.764253
京都府,京都市上京区,35.027304,135.749970
京都府,京都市下京区,34.994178,135.752074
京都府,京都市中京区,35.010905,135.750582
京都府,京都市伏見区,34.936130,135.759491
京都府,京都市北区,35.051281,135.744128
京都府,京都市南区,34.969393,135.737298
京都府,京都市右京区,35.010635,135.707112
京都府,京都市山科区,34.977326,135.811982
京都府,京都市左京区,35.060872,135.790020
京都府,京都市東山区,34.995235,135.774546
京都府,京都市西京区,34.973067,135.687660
京都府,八幡市,34.867810,135.714298
京都府,南丹市,35.097903,135.494242
京都府,向日市,34.947929,135.703978
京都府,城陽市,34.846215,135.782796
京都府,宇治市,34.896554,135.792406
京都府,宮津市,35.548511,135.203804
京都府,木津川市,34.745872,135.833917
京都府,相楽郡精華町,34.758773,135.781402
京都府,福知山市,35.301066,135.139352
京都府,綴喜郡井手町,34.805804,135.809012
京都府,綴喜郡宇治田原町,34.853146,135.866655
京都府,綾部市,35.310328,135.249976
京都府,舞鶴市,35.460106,135.362234
京都府,船井郡京丹波町,35.168545,135.419102
京都府,長岡京市,34.925730,135.689462
佐賀県,三養基郡みやき町,33.322797,130.445372
佐賀県,三養基郡上峰町,33.319330,130.421352
佐賀県,三養基郡基山町,33.423811,130.510710
佐賀県,伊万里市,33.278702,129.864446
佐賀県,佐賀市,33.266150,130.301580
佐賀県,唐津市,33.431242,129.985289
佐賀県,多久市,33.275533,130.113100
佐賀県,嬉野市,33.096448,129.992564
佐賀県,小城市,33.270246,130.199307
佐賀県,杵島郡白石町,33.186040,130.129543
佐賀県,武雄市,33.200052,130.025291
佐賀県,神埼市,33.293422,130.371871
佐賀県,神埼郡吉野ヶ里町,33.326777,130.399580
佐賀県,西松浦郡有田町,33.189817,129.894370
佐賀県,鳥栖市,33.374999,130.504457
佐賀県,鹿島市,33.102393,130.102669
兵庫県,たつの市,34.854068,134.542507
兵庫県,三木市,34.810158,135.028122
兵庫県,三田市,34.926741,135.201893
兵庫県,丹波市,35.161514,135.060829
兵庫県,丹波篠山市,35.070289,135.219671
兵庫県,伊丹市,34.784241,135.401353
兵庫県,佐用郡佐用町,34.951014,134.418422
兵庫県,加古川市,34.769564,134.848125
兵庫県,加古郡播磨町,34.717011,134.870805
兵庫県,加古郡稲美町,34.750219,134.914941
兵庫県,加東市,34.922030,134.974691
兵庫県,加西市,34.915980,134.852099
兵庫県,南あわじ市,34.292873,134.762228
兵庫県,多可郡多可町,35.049809,134.931455
兵庫県,姫路市,34.829696,134.680288
兵庫県,宍粟市,35.002252,134.538701
兵庫県,宝塚市,34.842664,135.345613
兵庫県,小野市,34.857835,134.941485
兵庫県,尼崎市,34.733420,135.411643
兵庫県,川西市,34.858532,135.409184
兵庫県,川辺郡猪名川町,34.928072,135.354821
兵庫県,揖保郡太子町,34.830748,134.582352
兵庫県,明石市,34.687129,134.928461
兵庫県,朝来市,35.334449,134.842453
兵庫県,洲本市,34.336238,134.870069
兵庫県,淡路市,34.514300,134.943359
兵庫県,相生市,34.829642,134.456546
兵庫県,神崎郡福崎町,34.951801,134.760097
兵庫県,神戸市中央区,34.692918,135.195319
兵庫県,神戸市兵庫区,34.678402,135.165649
兵庫県,神戸市北区,34.802497,135.182304
兵庫県,神戸市垂水区,34.651256,135.065480
兵庫県,神戸市東灘区,34.719459,135.269894
兵庫県,神戸市灘区,34.716725,135.229681
兵庫県,神戸市西区,34.710706,135.002814
兵庫県,神戸市長田区,34.666844,135.148057
兵庫県,神戸市須磨区,34.672130,135.108432
兵庫県,美方郡新温泉町,35.619774,134.458798
兵庫県,美方郡香美町,35.644156,134.632605
兵庫県,芦屋市,34.735974,135.306342
兵庫県,西宮市,34.774530,135.319733
兵庫県,西脇市,34.993522,134.975551
兵庫県,豊岡市,35.534499,134.822237
兵庫県,赤穂市,34.769223,134.388206
兵庫県,赤穂郡上郡町,34.868337,134.358153
兵庫県,養父市,35.397014,134.779056
兵庫県,高砂市,34.776375,134.789003
北海道,三笠市,43.241064,141.870882
北海道,上川郡上川町,43.849082,142.770480
北海道,上川郡下川町,44.303155,142.639868
北海道,上川郡新得町,43.085963,142.850321
北海道,上川郡東神楽町,43.707207,142.423276
北海道,上川郡清水町,43.013708,142.884121
北海道,上川郡美瑛町,43.585719,142.465596
北海道,上川郡鷹栖町,43.824984,142.334204
北海道,上磯郡木古内町,41.677608,140.435292
北海道,中川郡幕別町,42.904410,143.291736
北海道,中川郡本別町,43.126744,143.611976
北海道,中川郡池田町,42.925335,143.441388
北海道,中川郡美深町,44.482054,142.347411
北海道,久遠郡せたな町,42.414290,139.876286
北海道,亀田郡七飯町,41.870525,140.706733
北海道,二海郡八雲町,42.254380,140.274137
北海道,伊達市,42.472378,140.870676
北海道,余市郡余市町,43.193389,140.788502
北海道,函館市,41.792898,140.785073
北海道,勇払郡むかわ町,42.579843,141.934625
北海道,勇払郡厚真町,42.693669,141.877683
北海道,勇払郡安平町,42.775261,141.812763
北海道,北広島市,42.970639,141.525507
北海道,北斗市,41.849278,140.652624
北海道,北見市,43.799689,143.851465
北海道,十勝郡浦幌町,42.811871,143.656479
北海道,千歳市,42.836748,141.651860
北海道,厚岸郡厚岸町,43.047310,144.842475
北海道,古平郡古平町,43.269124,140.640246
北海道,名寄市,44.351086,142.457763
北海道,増毛郡増毛町,43.853591,141.521905
北海道,士別市,44.180093,142.394653
北海道,夕張市,43.009264,142.011982
北海道,夕張郡栗山町,43.055857,141.787208
北海道,夕張郡長沼町,43.009455,141.694410
北海道,室蘭市,42.355469,140.987997
北海道,富良野市,43.344723,142.389746
北海道,小樽市,43.181277,141.039002
北海道,山越郡長万部町,42.516317,140.374616
北海道,岩内郡共和町,42.984039,140.538098
北海道,岩内郡岩内町,42.978288,140.515309
北海道,岩見沢市,43.195023,141.755895
北海道,川上郡弟子屈町,43.487876,144.455697
北海道,川上郡標茶町,43.295802,144.603620
北海道,帯広市,42.911924,143.189110
北海道,広尾郡大樹町,42.492572,143.275012
北海道,広尾郡広尾町,42.294309,143.308771
北海道,恵庭市,42.904089,141.585424
北海道,斜里郡斜里町,43.905244,144.664163
北海道,日高郡新ひだか町,42.345648,142.367517
北海道,旭川市,43.773001,142.389097
北海道,有珠郡壮瞥町,42.559410,140.854996
北海道,札幌市中央区,43.052816,141.335125
北海道,札幌市北区,43.128350,141.344745
北海道,札幌市南区,42.967423,141.294616
北海道,札幌市厚別区,43.038768,141.474691
北海道,札幌市手稲区,43.126729,141.238958
北海道,札幌市東区,43.102170,141.386685
北海道,札幌市清田区,42.988027,141.446072
北海道,札幌市白石区,43.056312,141.419696
北海道,札幌市西区,43.075409,141.281208
北海道,札幌市豊平区,43.023606,141.386694
北海道,松前郡福島町,41.484994,140.255462
北海道,枝幸郡枝幸町,44.938531,142.581018
北海道,枝幸郡浜頓別町,45.125371,142.362984
北海道,根室市,43.327617,145.583000
北海道,標津郡中標津町,43.552860,144.979226
北海道,樺戸郡新十津川町,43.549994,141.878948
北海道,檜山郡江差町,41.872159,140.132113
北海道,歌志内市,43.514099,142.026793
北海道,江別市,43.104196,141.538965
北海道,沙流郡日高町,42.507779,142.047404
北海道,河東郡音更町,42.966454,143.207852
北海道,河西郡芽室町,42.910104,143.071828
北海道,浦河郡浦河町,42.169855,142.775011
北海道,深川市,43.715398,142.046221
北海道,滝川市,43.575494,141.929841
北海道,瀬棚郡今金町,42.427835,140.011527
北海道,留萌市,43.935034,141.651691
北海道,登別市,42.414792,141.102756
北海道,白糠郡白糠町,42.972238,144.109311
北海道,白老郡白老町,42.525761,141.309683
北海道,石狩市,43.156856,141.304540
北海道,石狩郡当別町,43.211773,141.495469
北海道,砂川市,43.500778,141.913058
北海道,稚内市,45.400831,141.684049
北海道,空知郡上富良野町,43.459410,142.470976
北海道,空知郡南幌町,43.060590,141.650778
北海道,空知郡奈井江町,43.432359,141.891588
北海道,紋別市,44.344807,143.341406
北海道,紋別郡滝上町,44.194187,143.077489
北海道,紋別郡興部町,44.461752,143.147455
北海道,紋別郡遠軽町,44.050789,143.521530
北海道,紋別郡雄武町,44.585073,142.958482
北海道,網走市,44.014697,144.265287
北海道,網走郡大空町,43.912583,144.175200
北海道,網走郡美幌町,43.825668,144.106762
北海道,美唄市,43.331463,141.860197
北海道,芦別市,43.520346,142.181643
北海道,苫前郡羽幌町,44.365634,141.704354
北海道,苫小牧市,42.644180,141.583936
北海道,茅部郡森町,42.105863,140.584127
北海道,虻田郡倶知安町,42.901698,140.753496
北海道,虻田郡洞爺湖町,42.550633,140.776150
北海道,赤平市,43.557709,142.059774
北海道,足寄郡足寄町,43.241410,143.550803
北海道,釧路市,42.998546,144.377075
北海道,釧路郡釧路町,43.021985,144.448118
千葉県,いすみ市,35.264213,140.386296
千葉県,佐倉市,35.711532,140.207346
千葉県,八千代市,35.746291,140.109067
千葉県,八街市,35.630897,140.296159
千葉県,勝浦市,35.150435,140.291132
千葉県,匝瑳市,35.701122,140.559460
千葉県,千葉市中央区,35.579642,140.142391
千葉県,千葉市稲毛区,35.649886,140.111102
千葉県,千葉市緑区,35.545195,140.225103
千葉県,千葉市美浜区,35.633787,140.063627
千葉県,千葉市花見川区,35.674682,140.086983
千葉県,千葉市若葉区,35.610574,140.199170
千葉県,印旛郡栄町,35.842276,140.228870
千葉県,印旛郡酒々井町,35.729980,140.276813
千葉県,印西市,35.798018,140.175777
千葉県,君津市,35.321517,139.905758
千葉県,四街道市,35.674909,140.177436
千葉県,大網白里市,35.518823,140.324873
千葉県,夷隅郡御宿町,35.190532,140.351892
千葉県,富津市,35.310096,139.850550
千葉県,富里市,35.728707,140.336060
千葉県,山武市,35.623991,140.402181
千葉県,山武郡九十九里町,35.533110,140.434258
千葉県,山武郡横芝光町,35.668749,140.497158
千葉県,山武郡芝山町,35.720726,140.413976
千葉県,市原市,35.486964,140.120859
千葉県,市川市,35.729545,139.943264
千葉県,成田市,35.800173,140.329370
千葉県,我孫子市,35.868884,140.072734
千葉県,旭市,35.712097,140.639883
千葉県,木更津市,35.390226,139.953442
千葉県,東金市,35.565825,140.372384
千葉県,松戸市,35.800787,139.922628
千葉県,柏市,35.852739,140.004899
千葉県,流山市,35.874640,139.913259
千葉県,浦安市,35.649624,139.902582
千葉県,白井市,35.804473,140.064981
千葉県,習志野市,35.683862,140.040376
千葉県,船橋市,35.735708,140.026744
千葉県,茂原市,35.448914,140.298697
千葉県,袖ヶ浦市,35.414536,140.009913
千葉県,野田市,35.992272,139.852704
千葉県,銚子市,35.732199,140.817752
千葉県,鎌ヶ谷市,35.774912,139.995471
千葉県,長生郡一宮町,35.371317,140.368642
千葉県,長生郡白子町,35.450873,140.374930
千葉県,長生郡長南町,35.394567,140.257539
千葉県,長生郡長生村,35.407015,140.351675
千葉県,館山市,34.989356,139.860666
千葉県,香取市,35.887290,140.517816
千葉県,香取郡多古町,35.751139,140.471920
千葉県,香取郡東庄町,35.826712,140.680344
千葉県,鴨川市,35.114883,140.103543
和歌山県,伊都郡かつらぎ町,34.297915,135.497014
和歌山県,伊都郡九度山町,34.291467,135.560812
和歌山県,伊都郡高野町,34.213576,135.585463
和歌山県,和歌山市,34.231005,135.202850
和歌山県,岩出市,34.269055,135.309125
和歌山県,御坊市,33.897067,135.161053
和歌山県,新宮市,33.703240,135.982655
和歌山県,日高郡みなべ町,33.765381,135.323779
和歌山県,日高郡由良町,33.963054,135.118390
和歌山県,日高郡美浜町,33.887908,135.146690
和歌山県,有田市,34.081601,135.141454
和歌山県,有田郡有田川町,34.063694,135.216805
和歌山県,有田郡湯浅町,34.036455,135.177897
和歌山県,東牟婁郡串本町,33.492232,135.798815
和歌山県,東牟婁郡太地町,33.590931,135.944735
和歌山県,東牟婁郡那智勝浦町,33.637171,135.944623
和歌山県,橋本市,34.326110,135.605563
和歌山県,海南市,34.146992,135.215095
和歌山県,田辺市,33.735419,135.385548
和歌山県,紀の川市,34.250690,135.352114
和歌山県,西牟婁郡すさみ町,33.553615,135.496648
和歌山県,西牟婁郡上富田町,33.699598,135.424535
和歌山県,西牟婁郡白浜町,33.642792,135.394369
埼玉県,さいたま市中央区,35.878793,139.626821
埼玉県,さいたま市北区,35.934586,139.616555
埼玉県,さいたま市南区,35.852851,139.675952
埼玉県,さいたま市大宮区,35.906497,139.621616
埼玉県,さいたま市岩槻区,35.942529,139.714920
埼玉県,さいたま市桜区,35.866673,139.602852
埼玉県,さいたま市浦和区,35.874695,139.654514
埼玉県,さいたま市緑区,35.884660,139.704664
埼玉県,さいたま市西区,35.910603,139.577333
埼玉県,さいたま市見沼区,35.924272,139.667548
埼玉県,ふじみ野市,35.866807,139.522533
埼玉県,三郷市,35.826500,139.870021
埼玉県,上尾市,35.970520,139.583221
埼玉県,久喜市,36.074739,139.638748
埼玉県,児玉郡上里町,36.251137,139.135569
埼玉県,児玉郡神川町,36.212268,139.099650
埼玉県,児玉郡美里町,36.182292,139.178679
埼玉県,入間市,35.816523,139.361364
埼玉県,入間郡三芳町,35.832557,139.518046
埼玉県,入間郡毛呂山町,35.943499,139.327732
埼玉県,入間郡越生町,35.964862,139.298667
埼玉県,八潮市,35.820310,139.839801
埼玉県,加須市,36.136994,139.621295
埼玉県,北本市,36.026281,139.531935
埼玉県,北葛飾郡杉戸町,36.033302,139.755338
埼玉県,北葛飾郡松伏町,35.937745,139.825536
埼玉県,北足立郡伊奈町,35.998685,139.618917
埼玉県,南埼玉郡宮代町,36.022560,139.717278
埼玉県,吉川市,35.896121,139.858861
埼玉県,和光市,35.788454,139.620676
埼玉県,坂戸市,35.962199,139.398087
埼玉県,大里郡寄居町,36.117816,139.215924
埼玉県,富士見市,35.857066,139.558151
埼玉県,川口市,35.843129,139.738461
埼玉県,川越市,35.915486,139.487278
埼玉県,幸手市,36.071025,139.739333
埼玉県,志木市,35.834210,139.579990
埼玉県,戸田市,35.817184,139.664875
埼玉県,所沢市,35.798537,139.462476
埼玉県,新座市,35.788537,139.559803
埼玉県,日高市,35.897528,139.342561
埼玉県,春日部市,35.982573,139.778503
埼玉県,朝霞市,35.815434,139.603722
埼玉県,本庄市,36.219897,139.174615
埼玉県,東松山市,36.032717,139.393760
埼玉県,桶川市,36.006467,139.551058
埼玉県,比企郡ときがわ町,36.005968,139.270292
埼玉県,比企郡吉見町,36.044130,139.452237
埼玉県,比企郡小川町,36.066093,139.268875
埼玉県,比企郡嵐山町,36.058667,139.317087
埼玉県,比企郡川島町,35.984058,139.479780
埼玉県,比企郡滑川町,36.068242,139.356990
埼玉県,比企郡鳩山町,35.985861,139.333016
埼玉県,深谷市,36.168138,139.264334
埼玉県,熊谷市,36.155695,139.377584
埼玉県,狭山市,35.859183,139.423082
埼玉県,白岡市,36.022702,139.670640
埼玉県,秩父市,36.014704,139.088739
埼玉県,秩父郡小鹿野町,36.016188,139.009712
埼玉県,秩父郡横瀬町,35.986594,139.102960
埼玉県,秩父郡皆野町,36.072820,139.100375
埼玉県,羽生市,36.168503,139.549545
埼玉県,草加市,35.833344,139.795762
埼玉県,蓮田市,35.999036,139.649326
埼玉県,蕨市,35.823289,139.689641
埼玉県,行田市,36.144120,139.473966
埼玉県,越谷市,35.905129,139.786882
埼玉県,飯能市,35.853297,139.311755
埼玉県,鴻巣市,36.079101,139.504468
埼玉県,鶴ヶ島市,35.935840,139.392478
大分県,中津市,33.583878,131.217504
大分県,佐伯市,32.966214,131.885247
大分県,別府市,33.303206,131.482384
大分県,国東市,33.559388,131.732730
大分県,大分市,33.191944,131.648394
大分県,宇佐市,33.549236,131.339795
大分県,日田市,33.324583,130.934226
大分県,杵築市,33.415407,131.616511
大分県,津久見市,33.072383,131.849711
大分県,玖珠郡玖珠町,33.282137,131.153821
大分県,由布市,33.232962,131.431206
大分県,竹田市,32.966439,131.386952
大分県,臼杵市,33.123438,131.790196
大分県,豊後大野市,32.983218,131.589703
大分県,豊後高田市,33.561599,131.450599
大分県,速見郡日出町,33.370796,131.541994
大阪府,三島郡島本町,34.885354,135.664363
大阪府,交野市,34.779776,135.679525
大阪府,八尾市,34.616707,135.616142
大阪府,南河内郡千早赤阪村,34.447628,135.628048
大阪府,南河内郡太子町,34.517037,135.646100
大阪府,南河内郡河南町,34.489319,135.634040
大阪府,吹田市,34.778693,135.518783
大阪府,和泉市,34.449429,135.468647
大阪府,四條畷市,34.732759,135.672507
大阪府,堺市中区,34.525622,135.502578
大阪府,堺市北区,34.563137,135.508328
大阪府,堺市南区,34.479052,135.500994
大阪府,堺市堺区,34.576734,135.474882
大阪府,堺市東区,34.536030,135.534955
大阪府,堺市美原区,34.539495,135.561029
大阪府,堺市西区,34.532190,135.461641
大阪府,大東市,34.712265,135.635380
大阪府,大阪市中央区,34.678896,135.510240
大阪府,大阪市住之江区,34.614560,135.468825
大阪府,大阪市住吉区,34.606598,135.504016
大阪府,大阪市北区,34.705073,135.503878
大阪府,大阪市城東区,34.696926,135.548537
大阪府,大阪市大正区,34.649797,135.470237
大阪府,大阪市天王寺区,34.660708,135.522036
大阪府,大阪市平野区,34.618674,135.559776
大阪府,大阪市旭区,34.723343,135.547650
大阪府,大阪市東住吉区,34.619552,135.531926
大阪府,大阪市東成区,34.672646,135.546766
大阪府,大阪市東淀川区,34.743944,135.529030
大阪府,大阪市此花区,34.681556,135.449453
大阪府,大阪市浪速区,34.659128,135.496903
大阪府,大阪市淀川区,34.729249,135.482623
大阪府,大阪市港区,34.662477,135.453319
大阪府,大阪市生野区,34.653833,135.543706
大阪府,大阪市福島区,34.693613,135.476799
大阪府,大阪市西区,34.677702,135.483794
大阪府,大阪市西成区,34.638715,135.493475
大阪府,大阪市西淀川区,34.709155,135.450862
大阪府,大阪市都島区,34.709262,135.528834
大阪府,大阪市阿倍野区,34.633019,135.514251
大阪府,大阪市鶴見区,34.702283,135.575589
大阪府,大阪狭山市,34.497800,135.549552
大阪府,守口市,34.742138,135.578541
大阪府,富田林市,34.485759,135.595113
大阪府,寝屋川市,34.764945,135.628288
大阪府,岸和田市,34.438598,135.417462
大阪府,摂津市,34.776941,135.568144
大阪府,東大阪市,34.668825,135.607717
大阪府,松原市,34.578561,135.547776
大阪府,枚方市,34.820816,135.679068
大阪府,柏原市,34.581754,135.646189
大阪府,池田市,34.838887,135.433651
大阪府,河内長野市,34.431230,135.566929
大阪府,泉佐野市,34.390679,135.330685
大阪府,泉北郡忠岡町,34.488396,135.399711
大阪府,泉南市,34.363175,135.288894
大阪府,泉南郡岬町,34.320998,135.152441
大阪府,泉南郡熊取町,34.397312,135.359103
大阪府,泉南郡田尻町,34.392877,135.289960
大阪府,泉大津市,34.500426,135.414055
大阪府,箕面市,34.842486,135.483890
大阪府,羽曳野市,34.546505,135.600313
大阪府,茨木市,34.861539,135.548868
大阪府,藤井寺市,34.573793,135.601925
大阪府,豊中市,34.777287,135.471365
大阪府,豊能郡能勢町,34.969495,135.423543
大阪府,豊能郡豊能町,34.915163,135.480730
大阪府,貝塚市,34.418039,135.374469
大阪府,門真市,34.733245,135.600118
大阪府,阪南市,34.344929,135.235646
大阪府,高槻市,34.866064,135.607662
大阪府,高石市,34.524979,135.436667
奈良県,五條市,34.356848,135.698246
奈良県,北葛城郡上牧町,34.562632,135.714955
奈良県,北葛城郡広陵町,34.551805,135.746889
奈良県,北葛城郡河合町,34.581287,135.733123
奈良県,北葛城郡王寺町,34.584222,135.698524
奈良県,吉野郡下市町,34.367423,135.795805
奈良県,吉野郡吉野町,34.396361,135.862742
奈良県,吉野郡大淀町,34.394681,135.794217
奈良県,大和郡山市,34.632511,135.777778
奈良県,大和高田市,34.509399,135.740889
奈良県,天理市,34.595547,135.836482
奈良県,奈良市,34.681723,135.840090
奈良県,宇陀市,34.501416,135.947513
奈良県,御所市,34.440629,135.731427
奈良県,桜井市,34.521612,135.853208
奈良県,橿原市,34.502394,135.790256
奈良県,生駒市,34.707978,135.712336
奈良県,生駒郡三郷町,34.602736,135.691549
奈良県,生駒郡安堵町,34.602569,135.754918
奈良県,生駒郡平群町,34.628447,135.693915
奈良県,生駒郡斑鳩町,34.612680,135.732774
奈良県,磯城郡三宅町,34.572939,135.772171
奈良県,磯城郡川西町,34.586430,135.771746
奈良県,磯城郡田原本町,34.554157,135.794296
奈良県,葛城市,34.496957,135.714005
奈良県,香芝市,34.544624,135.698158
奈良県,高市郡明日香村,34.468414,135.815252
奈良県,高市郡高取町,34.445209,135.784179
宮城県,亘理郡亘理町,38.046440,140.869929
宮城県,亘理郡山元町,37.957654,140.886995
宮城県,仙台市太白区,38.214854,140.846998
宮城県,仙台市宮城野区,38.277362,140.948877
宮城県,仙台市泉区,38.322592,140.869751
宮城県,仙台市若林区,38.230631,140.925648
宮城県,仙台市青葉区,38.281227,140.809232
宮城県,伊具郡丸森町,37.921857,140.769539
宮城県,刈田郡蔵王町,38.093755,140.654338
宮城県,加美郡加美町,38.573399,140.864079
宮城県,名取市,38.168268,140.879172
宮城県,塩竈市,38.327947,141.042350
宮城県,多賀城市,38.297356,140.989090
宮城県,大崎市,38.583597,140.932423
宮城県,宮城郡七ヶ浜町,38.297857,141.061575
宮城県,宮城郡利府町,38.331364,140.981488
宮城県,宮城郡松島町,38.391896,141.074303
宮城県,富谷市,38.383591,140.896021
宮城県,岩沼市,38.110916,140.880962
宮城県,本吉郡南三陸町,38.677959,141.449184
宮城県,東松島市,38.414886,141.190555
宮城県,柴田郡大河原町,38.050756,140.722117
宮城県,柴田郡川崎町,38.182853,140.647873
宮城県,柴田郡村田町,38.135916,140.747744
宮城県,柴田郡柴田町,38.066010,140.789484
宮城県,栗原市,38.769336,141.055322
宮城県,気仙沼市,38.885344,141.571346
宮城県,牡鹿郡女川町,38.442810,141.442293
宮城県,登米市,38.678849,141.226504
宮城県,白石市,38.002161,140.621580
宮城県,石巻市,38.448724,141.304828
宮城県,角田市,37.994083,140.783849
宮城県,遠田郡涌谷町,38.542522,141.125166
宮城県,遠田郡美里町,38.548198,141.051846
宮城県,黒川郡大和町,38.426760,140.895307
宮城県,黒川郡大衡村,38.456110,140.890271
宮城県,黒川郡大郷町,38.412462,141.020109
宮崎県,えびの市,32.044371,130.817180
宮崎県,串間市,31.466821,131.225849
宮崎県,児湯郡川南町,32.198889,131.532349
宮崎県,児湯郡新富町,32.068655,131.493794
宮崎県,児湯郡都農町,32.253206,131.558071
宮崎県,児湯郡高鍋町,32.132679,131.513492
宮崎県,北諸県郡三股町,31.736349,131.117716
宮崎県,宮崎市,31.933688,131.413852
宮崎県,小林市,31.990806,130.975320
宮崎県,延岡市,32.572169,131.666658
宮崎県,日南市,31.607472,131.376460
宮崎県,日向市,32.419860,131.625018
宮崎県,東臼杵郡門川町,32.480375,131.654425
宮崎県,東諸県郡国富町,31.988072,131.343717
宮崎県,東諸県郡綾町,32.001021,131.251460
宮崎県,西臼杵郡高千穂町,32.710679,131.310337
宮崎県,西諸県郡高原町,31.923269,130.999397
宮崎県,西都市,32.109211,131.401150
宮崎県,都城市,31.749739,131.072775
富山県,下新川郡入善町,36.923152,137.499074
富山県,下新川郡朝日町,36.942645,137.564501
富山県,中新川郡上市町,36.704605,137.360247
富山県,中新川郡立山町,36.659663,137.319359
富山県,中新川郡舟橋村,36.701790,137.307019
富山県,南砺市,36.556185,136.907780
富山県,富山市,36.674261,137.216136
富山県,射水市,36.729173,137.090795
富山県,小矢部市,36.658102,136.876281
富山県,氷見市,36.857099,136.966084
富山県,滑川市,36.760416,137.358509
富山県,砺波市,36.629962,136.973777
富山県,高岡市,36.736296,136.998244
富山県,魚津市,36.819194,137.416168
富山県,黒部市,36.873554,137.460193
山口県,下松市,34.020254,131.881221
山口県,下関市,34.067679,130.960047
山口県,光市,33.980312,131.968289
山口県,周南市,34.057454,131.804673
山口県,大島郡周防大島町,33.925788,132.196409
山口県,宇部市,33.983864,131.270804
山口県,山口市,34.116606,131.445338
山口県,山陽小野田市,34.007238,131.167182
山口県,岩国市,34.106699,132.144750
